dutch,english,topic,section,example
resultaat,result,Topic 17,Know your Network,Het resultaat is goed.
uitbreiden,to expand,Topic 17,Know your Network,Ik ga mijn netwerk uitbreiden.
uitkering,benefit,Topic 17,Know your Network,Ik krijg een uitkering.
uitzendbureau,employment agency,Topic 17,Know your Network,Het uitzendbureau helpt me.
vacature,vacancy,Topic 17,Know your Network,Er is een vacature.
werkervaring,work experience,Topic 17,Know your Network,Ik heb veel werkervaring.
werkgever,employer,Topic 17,Know your Network,Mijn werkgever is tevreden.
werkloos,unemployed,Topic 17,Know your Network,Ik ben werkloos.
werknemer,employee,Topic 17,Know your Network,Ik ben een goede werknemer.
werkzaamheden,work activities,Topic 17,Know your Network,Mijn werkzaamheden zijn gevarieerd.
werkzoekende,job seeker,Topic 17,Know your Network,Ik ben werkzoekende.
afdeling,department,Topic 17,Apply Now,Ik werk op de afdeling verkoop.
beantwoorden,to answer,Topic 17,Apply Now,Ik ga de vraag beantwoorden.
bereid,prepared,Topic 17,Apply Now,Ik ben bereid om te werken.
bereikbaar,accessible,Topic 17,Apply Now,Ik ben telefonisch bereikbaar.
beschikbaar,available,Topic 17,Apply Now,Ik ben beschikbaar voor werk.
bieden,to offer,Topic 17,Apply Now,Wij bieden een goed salaris.
bruto,gross,Topic 17,Apply Now,Mijn bruto salaris is hoog.
cv,CV,Topic 17,Apply Now,Ik stuur mijn cv mee.
doorzettingsvermogen,perseverance,Topic 17,Apply Now,Ik heb doorzettingsvermogen.
eis,requirement,Topic 17,Apply Now,Ervaring is een eis.
fulltime,full time,Topic 17,Apply Now,Ik werk fulltime.
omschrijving,description,Topic 17,Apply Now,De omschrijving is duidelijk.
opnemen,to answer,Topic 17,Apply Now,Ik neem de telefoon op.
personeelszaken,human resources department,Topic 17,Apply Now,Personeelszaken belt me.
receptie,reception,Topic 17,Apply Now,Ik meld me bij de receptie.
receptionist,receptionist,Topic 17,Apply Now,De receptionist helpt me.
salaris,salary,Topic 17,Apply Now,Mijn salaris is goed.
snelweg,highway,Topic 17,Apply Now,Het kantoor ligt bij de snelweg.
sollicitatiebrief,application letter,Topic 17,Apply Now,Ik schrijf een sollicitatiebrief.
solliciteren,to apply for a job,Topic 17,Apply Now,Ik ga solliciteren.
vaardigheid,skill,Topic 17,Apply Now,Ik heb goede vaardigheden.
verantwoordelijk,responsible,Topic 17,Apply Now,Ik ben verantwoordelijk.
vloeiend,fluent,Topic 17,Apply Now,Ik spreek vloeiend Nederlands.
voldoende,sufficient,Topic 17,Apply Now,Mijn ervaring is voldoende.
zeer,very,Topic 17,Apply Now,Ik ben zeer gemotiveerd.
aanpakken,to go about,Topic 17,Know your Network,Ik pak het probleem aan.
adviseren,to advise,Topic 17,Know your Network,Ik ga je adviseren.
begin,start,Topic 17,Know your Network,Het begin is moeilijk.
belang,importance,Topic 17,Know your Network,Het belang van netwerken.
beseffen,to realize,Topic 17,Know your Network,Ik besef het nu.
bestaan uit,to consist of,Topic 17,Know your Network,Het team bestaat uit vijf mensen.
bijeenkomst,meeting,Topic 17,Know your Network,We hebben een bijeenkomst.
borrel,drink,Topic 17,Know your Network,Na het werk gaan we borrelen.
carrière,career,Topic 17,Know your Network,Mijn carrière gaat goed.
ex-,former,Topic 17,Know your Network,Mijn ex-collega helpt me.
interviewen,to interview,Topic 17,Know your Network,Ik ga hem interviewen.
leidinggevende,leader,Topic 17,Know your Network,Mijn leidinggevende is aardig.
netwerk,network,Topic 17,Know your Network,Mijn netwerk is groot.
netwerken,to network,Topic 17,Know your Network,Ik ga netwerken op het evenement.
neutraal,neutral,Topic 17,Know your Network,Ik blijf neutraal.
nuttig,helpful,Topic 17,Know your Network,Dit is nuttig advies.
resultaat,result,Topic 17,Know your Network,Het resultaat is goed.
uitbreiden,to expand,Topic 17,Know your Network,Ik ga mijn netwerk uitbreiden.
uitkering,benefit,Topic 17,Know your Network,Ik krijg een uitkering.
uitzendbureau,employment agency,Topic 17,Know your Network,Het uitzendbureau helpt me.
vacature,vacancy,Topic 17,Know your Network,Er is een vacature.
werkervaring,work experience,Topic 17,Know your Network,Ik heb veel werkervaring.
werkgever,employer,Topic 17,Know your Network,Mijn werkgever is tevreden.
werkloos,unemployed,Topic 17,Know your Network,Ik ben werkloos.
werknemer,employee,Topic 17,Know your Network,Ik ben een goede werknemer.
werkzaamheden,work activities,Topic 17,Know your Network,Mijn werkzaamheden zijn divers.
werkzoekende,job seeker,Topic 17,Know your Network,Ik ben werkzoekende.
aannemen,to hire,Topic 17,Job Interview,Het bedrijf gaat me aannemen.
afwisselend,full of variety,Topic 17,Job Interview,Het werk is afwisselend.
beleefd,polite,Topic 17,Job Interview,Ik ben beleefd tijdens het gesprek.
besluiten,to decide,Topic 17,Job Interview,Ik ga besluiten om de baan te nemen.
bijbaan,job on the side,Topic 17,Job Interview,Ik heb een bijbaan.
boekwinkel,bookstore,Topic 17,Job Interview,Ik werk in een boekwinkel.
bureau,desk,Topic 17,Job Interview,Ik zit achter mijn bureau.
directeur,director,Topic 17,Job Interview,De directeur interviewt me.
geweldig,awesome,Topic 17,Job Interview,Deze kans is geweldig.
ijverig,diligent,Topic 17,Job Interview,Ik ben ijverig in mijn werk.
kassa,cash register,Topic 17,Job Interview,Ik werk bij de kassa.
magazijn,warehouse,Topic 17,Job Interview,Het magazijn is groot.
nauwkeurig,accurate,Topic 17,Job Interview,Ik werk nauwkeurig.
netjes,tidy,Topic 17,Job Interview,Ik kleed me netjes.
openen,to open,Topic 17,Job Interview,Ik open de winkel.
overleg,meeting,Topic 17,Job Interview,We hebben overleg.
serveren,to serve,Topic 17,Job Interview,Ik serveer de klanten.
sollicitant,applicant,Topic 17,Job Interview,Ik ben sollicitant.
sollicitatiegesprek,job interview,Topic 17,Job Interview,Ik heb een sollicitatiegesprek.
soort,type,Topic 17,Job Interview,Welk soort werk doe je?
taak,task,Topic 17,Job Interview,Dit is mijn taak.
verleden,past,Topic 17,Job Interview,In het verleden werkte ik hier.
verzorgingshuis,care home,Topic 17,Job Interview,Ik werk in een verzorgingshuis.
voorbeeld,example,Topic 17,Job Interview,Kun je een voorbeeld geven?
bewolkt,cloudy,Topic 18,Weather,Het is bewolkt vandaag.
binnenblijven,to stay inside,Topic 18,Weather,Ik blijf binnen vanwege de regen.
bui,rain shower,Topic 18,Weather,Er komt een bui aan.
doodgaan,to die,Topic 18,Weather,De planten gaan dood door de vorst.
doorgaan,to go through,Topic 18,Weather,We gaan door ondanks het weer.
eng,scary,Topic 18,Weather,Het onweer is eng.
hagel,hail,Topic 18,Weather,Er valt hagel uit de lucht.
handschoen,glove,Topic 18,Weather,Ik draag handschoenen tegen de kou.
hitte,heat,Topic 18,Weather,De hitte is ondraaglijk.
hoofd,head,Topic 18,Weather,Mijn hoofd wordt nat van de regen.
ijs,ice,Topic 18,Weather,Er ligt ijs op de weg.
ijskoud,ice cold,Topic 18,Weather,Het is ijskoud buiten.
muts,hat,Topic 18,Weather,Ik zet een muts op.
onweren,to thunder,Topic 18,Weather,Het gaat onweren vanavond.
opschieten,to hurry up,Topic 18,Weather,Schiet op voor de regen komt.
paraplu,umbrella,Topic 18,Weather,Ik neem een paraplu mee.
regenjas,raincoat,Topic 18,Weather,Ik trek mijn regenjas aan.
sneeuwen,to snow,Topic 18,Weather,Het gaat sneeuwen morgen.
storm,storm,Topic 18,Weather,Er komt een storm aan.
vannacht,tonight,Topic 18,Weather,Vannacht wordt het koud.
voorspellen,to predict,Topic 18,Weather,Het weer is moeilijk te voorspellen.
waaien,to blow,Topic 18,Weather,De wind waait hard.
wolk,cloud,Topic 18,Weather,Er hangt een donkere wolk.
zeuren,to whine,Topic 18,Weather,Stop met zeuren over het weer.
aarde,Earth,Topic 18,Winter and Summer,De aarde draait om de zon.
beschermen,to protect,Topic 18,Winter and Summer,We moeten de natuur beschermen.
daardoor,as a result of that,Topic 18,Winter and Summer,Het regent veel en daardoor is het nat.
dam,dam,Topic 18,Winter and Summer,De dam houdt het water tegen.
dijk,dyke,Topic 18,Winter and Summer,De dijk beschermt tegen overstromingen.
door,through,Topic 18,Winter and Summer,We lopen door het park.
gevolg,consequence,Topic 18,Winter and Summer,Regen is het gevolg van wolken.
kans,chance,Topic 18,Winter and Summer,Er is kans op sneeuw.
kust,coast,Topic 18,Winter and Summer,We wonen aan de kust.
lente,spring,Topic 18,Winter and Summer,In de lente bloeien de bloemen.
lucht,air,Topic 18,Winter and Summer,De lucht is fris vandaag.
misverstand,misunderstanding,Topic 18,Winter and Summer,Er is een misverstand over het weer.
neerslag,precipitation,Topic 18,Winter and Summer,Er valt veel neerslag.
onweer,thunder,Topic 18,Winter and Summer,Het onweer is luid.
oosten,east,Topic 18,Winter and Summer,De zon komt op in het oosten.
overstroming,flood,Topic 18,Winter and Summer,Er is een overstroming in de stad.
periode,period,Topic 18,Winter and Summer,Het is een droge periode.
rivier,river,Topic 18,Winter and Summer,De rivier stroomt naar zee.
schaatsen,to skate,Topic 18,Winter and Summer,We gaan schaatsen op het ijs.
seizoen,season,Topic 18,Winter and Summer,Winter is mijn favoriete seizoen.
sneeuw,snow,Topic 18,Winter and Summer,Er ligt sneeuw op de grond.
stijgen,to rise,Topic 18,Winter and Summer,Het water gaat stijgen.
stormen,to storm,Topic 18,Winter and Summer,Het gaat hard stormen.
vliegtuig,airplane,Topic 18,Winter and Summer,Het vliegtuig vliegt door de wolken.
waddeneiland,Wadden Island,Topic 18,Winter and Summer,We bezoeken een waddeneiland.
westen,west,Topic 18,Winter and Summer,De zon gaat onder in het westen.
wisselvallig,changeable,Topic 18,Winter and Summer,Het weer is wisselvallig.
zacht,soft,Topic 18,Winter and Summer,Het weer is zacht vandaag.
aaien,to pet,Topic 18,Getting Pet,Ik aai de hond.
allergisch,allergic,Topic 18,Getting Pet,Ik ben allergisch voor katten.
beest,animal,Topic 18,Getting Pet,Dat is een lief beest.
dier,animal,Topic 18,Getting Pet,Een hond is een huisdier.
eenzaam,lonely,Topic 18,Getting Pet,Ik voel me eenzaam zonder huisdier.
kat,cat,Topic 18,Getting Pet,De kat slaapt op de bank.
knuffelen,to cuddle,Topic 18,Getting Pet,Ik knuffel mijn konijn.
konijn,rabbit,Topic 18,Getting Pet,Het konijn eet wortels.
nadeel,disadvantage,Topic 18,Getting Pet,Een nadeel is de kosten.
ongezellig,unsociable,Topic 18,Getting Pet,Zonder huisdier is het ongezellig.
opgroeien,to grow up,Topic 18,Getting Pet,Kinderen groeien op met huisdieren.
praatje,chat,Topic 18,Getting Pet,Ik maak een praatje over mijn kat.
rommel,mess,Topic 18,Getting Pet,De hond maakt rommel.
ruiken,to smell,Topic 18,Getting Pet,Ik ruik de hond.
schattig,cute,Topic 18,Getting Pet,De puppy is zo schattig.
slang,snake,Topic 18,Getting Pet,Een slang is een exotisch huisdier.
spin,spider,Topic 18,Getting Pet,Sommige mensen houden van spinnen.
thuiskomen,to come home,Topic 18,Getting Pet,Als ik thuiskom begroet de hond me.
toestaan,to allow,Topic 18,Getting Pet,De verhuurder staat huisdieren toe.
verbieden,to prohibit,Topic 18,Getting Pet,Hier zijn huisdieren verboden.
verzorgen,to care for,Topic 18,Getting Pet,Ik verzorg mijn huisdier goed.
vogel,bird,Topic 18,Getting Pet,De vogel zingt mooi.
wild,wild,Topic 18,Getting Pet,Wilde dieren horen niet thuis.
berg,mountain,Topic 18,Mountains,De berg is hoog.
boerderij,farm,Topic 18,Mountains,We bezoeken een boerderij.
duin,dune,Topic 18,Mountains,Het duin is van zand.
enige,only,Topic 18,Mountains,Dit is de enige berg hier.
hek,fence,Topic 18,Mountains,Er staat een hek om het weiland.
inwoner,resident,Topic 18,Mountains,De inwoner woont in het dorp.
kamperen,to camp,Topic 18,Mountains,We gaan kamperen in de bergen.
koe,cow,Topic 18,Mountains,De koe staat in het weiland.
landschap,landscape,Topic 18,Mountains,Het landschap is prachtig.
meer,lake,Topic 18,Mountains,Het meer ligt tussen de bergen.
miljoen,million,Topic 18,Mountains,Er zijn miljoenen bomen.
natuurgebied,nature reserve,Topic 18,Mountains,Het natuurgebied is beschermd.
omhoog,upwards,Topic 18,Mountains,We klimmen omhoog naar de top.
pad,path,Topic 18,Mountains,Het pad leidt naar de berg.
plat,flat,Topic 18,Mountains,Nederland is plat.
rijk,rich,Topic 18,Mountains,De natuur is rijk aan dieren.
schaap,sheep,Topic 18,Mountains,Het schaap eet gras.
skiën,to ski,Topic 18,Mountains,We gaan skiën in de bergen.
teleurgesteld,disappointed,Topic 18,Mountains,Ik ben teleurgesteld door het weer.
top,top,Topic 18,Mountains,De top van de berg is wit.
uitzicht,view,Topic 18,Mountains,Het uitzicht is fantastisch.
verdwijnen,to disappear,Topic 18,Mountains,De mist laat verdwijnen.
vuur,fire,Topic 18,Mountains,We maken vuur om warm te blijven.
weiland,meadow,Topic 18,Mountains,Het weiland is groen.
zand,sand,Topic 18,Mountains,Het zand is warm.
abonnement,subscription,Topic 19,Spending Money,Ik heb een abonnement op Netflix.
acteur,actor,Topic 19,Spending Money,De acteur speelt goed.
behoefte,need,Topic 19,Spending Money,Ik heb behoefte aan nieuwe kleren.
beroemd,famous,Topic 19,Spending Money,Hij is een beroemde acteur.
controle,check-up,Topic 19,Spending Money,Ik ga naar de tandarts voor controle.
gat,cavity,Topic 19,Spending Money,Ik heb een gat in mijn tand.
honger,hunger,Topic 19,Spending Money,Ik heb honger en ga eten kopen.
indruk,impression,Topic 19,Spending Money,Hij maakt een goede indruk.
inkomen,income,Topic 19,Spending Money,Mijn inkomen is niet hoog.
interviewster,female interviewer,Topic 19,Spending Money,De interviewster stelt vragen.
jawel,yes I do,Topic 19,Spending Money,Jawel ik geef geld uit.
last,cost,Topic 19,Spending Money,De auto geeft veel last.
lijden,to suffer,Topic 19,Spending Money,Ik lijd onder geldgebrek.
luxe,luxury,Topic 19,Spending Money,Een dure auto is luxe.
meevallen,to be better than expected,Topic 19,Spending Money,De kosten vallen mee.
ooit,ever,Topic 19,Spending Money,Heb je ooit zoveel uitgegeven?
overhouden,to have left,Topic 19,Spending Money,Ik houd weinig geld over.
redelijk,reasonable,Topic 19,Spending Money,De prijs is redelijk.
reiskosten,travel costs,Topic 19,Spending Money,Mijn reiskosten zijn hoog.
simpel,easy,Topic 19,Spending Money,Geld uitgeven is simpel.
tekortkomen,to have a shortage of,Topic 19,Spending Money,Ik kom geld tekort.
uitgave,expense,Topic 19,Spending Money,Dit is een grote uitgave.
uitkijken,to watch out,Topic 19,Spending Money,Kijk uit met je geld.
voordelig,inexpensive,Topic 19,Spending Money,Deze winkel is voordelig.
waaraan,on what,Topic 19,Spending Money,Waaraan geef je geld uit?
woonlasten,costs of housing,Topic 19,Spending Money,Mijn woonlasten zijn hoog.
aantrekkelijk,attractive,Topic 19,Buying Goods,De aanbieding is aantrekkelijk.
belofte,promise,Topic 19,Buying Goods,De winkel doet een belofte.
bewust,consciously,Topic 19,Buying Goods,Ik koop bewust goedkope producten.
bukken,to bend down,Topic 19,Buying Goods,Ik buk om iets te pakken.
consument,consumer,Topic 19,Buying Goods,Als consument heb je rechten.
contactloos,contactless,Topic 19,Buying Goods,Ik betaal contactloos.
creditcard,credit card,Topic 19,Buying Goods,Ik betaal met mijn creditcard.
folder,brochure,Topic 19,Buying Goods,Ik lees de folder voor aanbiedingen.
fotomodel,model,Topic 19,Buying Goods,Het fotomodel draagt mooie kleren.
gangpad,aisle,Topic 19,Buying Goods,Ik loop door het gangpad.
geur,smell,Topic 19,Buying Goods,De geur van brood lokt klanten.
gevoelig,sensitive,Topic 19,Buying Goods,Ik ben gevoelig voor reclame.
korting,discount,Topic 19,Buying Goods,Er is korting op deze producten.
media,media,Topic 19,Buying Goods,De media beïnvloedt koopgedrag.
onderaan,at the bottom,Topic 19,Buying Goods,De goedkope producten staan onderaan.
reclame,advertising,Topic 19,Buying Goods,Reclame wil je verleiden.
schuldig,guilty,Topic 19,Buying Goods,Ik voel me schuldig na het kopen.
soort,type,Topic 19,Buying Goods,Welk soort product wil je?
toeval,coincidence,Topic 19,Buying Goods,Het is geen toeval dat dit hier staat.
truc,trick,Topic 19,Buying Goods,Winkels gebruiken trucs.
uitverkoop,sale,Topic 19,Buying Goods,Er is uitverkoop in de winkel.
verleiden,to tempt,Topic 19,Buying Goods,Winkels proberen je te verleiden.
verleiding,temptation,Topic 19,Buying Goods,Ik kan de verleiding niet weerstaan.
verschrikkelijk,terribly,Topic 19,Buying Goods,Ik heb verschrikkelijk veel uitgegeven.
werkelijk,really,Topic 19,Buying Goods,Heb je werkelijk zoveel nodig?
zichtbaar,visible,Topic 19,Buying Goods,De prijzen zijn goed zichtbaar.
accijns,excise duty,Topic 19,Tax,Er zit accijns op benzine.
afvoeren,to dispose of,Topic 19,Tax,Ik moet oude spullen afvoeren.
belasting,tax,Topic 19,Tax,Ik betaal belasting over mijn inkomen.
belastingaanslag,tax assessment,Topic 19,Tax,Ik kreeg mijn belastingaanslag.
Belastingdienst,tax authorities,Topic 19,Tax,De Belastingdienst stuurt een brief.
bestuur,government,Topic 19,Tax,Het bestuur bepaalt de belastingen.
bijdrage,contribution,Topic 19,Tax,Ik betaal een bijdrage aan de gemeente.
brommer,moped,Topic 19,Tax,Voor een brommer betaal je wegenbelasting.
btw,value added tax,Topic 19,Tax,Over producten betaal je btw.
erfenis,inheritance,Topic 19,Tax,Over een erfenis betaal je belasting.
etc,etc,Topic 19,Tax,Belastingen zijn inkomstenbelasting btw etc.
fietsenmaker,bicycle repairer,Topic 19,Tax,De fietsenmaker rekent btw.
financieel,financial,Topic 19,Tax,Ik heb financiële problemen.
loon,wage,Topic 19,Tax,Over mijn loon wordt belasting ingehouden.
provincie,province,Topic 19,Tax,Elke provincie heeft eigen belastingen.
rekeningnummer,account number,Topic 19,Tax,Mijn rekeningnummer staat op de aanslag.
schoenmaker,shoemaker,Topic 19,Tax,De schoenmaker betaalt ook belasting.
sigaret,cigarette,Topic 19,Tax,Op sigaretten zit veel accijns.
systeem,system,Topic 19,Tax,Het belastingsysteem is ingewikkeld.
toeslag,surcharge,Topic 19,Tax,Ik krijg zorgtoeslag van de overheid.
toevoegen,to add,Topic 19,Tax,Je moet btw toevoegen aan de prijs.
uitstel,delay,Topic 19,Tax,Ik vraag uitstel voor mijn belasting.
vergissing,mistake,Topic 19,Tax,Er zit een vergissing in mijn aanslag.
vorm,form,Topic 19,Tax,Ik vul het belastingformulier in.
vraag,question,Topic 19,Tax,Ik heb een vraag over belasting.
afnemen,to decrease,Topic 19,Happiness from Money,Mijn geluk neemt af zonder geld.
Amerikaans,American,Topic 19,Happiness from Money,Het Amerikaanse onderzoek toont aan.
angst,fear,Topic 19,Happiness from Money,Ik heb angst voor geldgebrek.
blijken,to be evident,Topic 19,Happiness from Money,Het blijkt dat geld niet alles is.
dankbaar,grateful,Topic 19,Happiness from Money,Ik ben dankbaar voor wat ik heb.
droom,dream,Topic 19,Happiness from Money,Mijn droom is veel geld verdienen.
effect,effect,Topic 19,Happiness from Money,Geld heeft een positief effect.
gesprek,conversation,Topic 19,Happiness from Money,We hebben een gesprek over geld.
hypotheek,mortgage,Topic 19,Happiness from Money,Ik heb een hypotheek op mijn huis.
idioot,idiotic,Topic 19,Happiness from Money,Het is idioot om alles uit te geven.
loterij,lottery,Topic 19,Happiness from Money,Ik speel in de loterij.
onderzoeker,researcher,Topic 19,Happiness from Money,De onderzoeker bestudeert geluk.
parttime,part-time,Topic 19,Happiness from Money,Ik werk parttime voor meer tijd.
plotseling,suddenly,Topic 19,Happiness from Money,Plotseling won ik de loterij.
relatie,relationship,Topic 19,Happiness from Money,Geld beïnvloedt mijn relatie.
samenvatting,summary,Topic 19,Happiness from Money,Dit is een samenvatting van het onderzoek.
verband,connection,Topic 19,Happiness from Money,Er is verband tussen geld en geluk.
Verenigde Staten,United States,Topic 19,Happiness from Money,Het onderzoek komt uit de Verenigde Staten.
weggeven,to give away,Topic 19,Happiness from Money,Ik geef geld weg aan goede doelen.
wens,wish,Topic 19,Happiness from Money,Mijn wens is financiële zekerheid.
winnaar,winner,Topic 19,Happiness from Money,De winnaar van de loterij is blij.
winnen,to win,Topic 19,Happiness from Money,Ik wil de loterij winnen.
zich voorstellen,to imagine,Topic 19,Happiness from Money,Ik stel me voor dat ik rijk ben.
zorgen,worries,Topic 19,Happiness from Money,Geldgebrek geeft me zorgen.
Zweeds,Swedish,Topic 19,Happiness from Money,Het Zweedse onderzoek is interessant.
absoluut,absolutely,Topic 20,Watching Media,Dat is absoluut waar.
aflevering,episode,Topic 20,Watching Media,Ik kijk naar een nieuwe aflevering.
dood,dead,Topic 20,Watching Media,De hoofdpersoon is dood.
drama,drama,Topic 20,Watching Media,Ik hou van drama series.
hangen,to hang,Topic 20,Watching Media,Ik hang voor de tv.
journaal,news,Topic 20,Watching Media,Het journaal begint om acht uur.
misdaad,crime,Topic 20,Watching Media,Deze serie gaat over misdaad.
missen,to miss,Topic 20,Watching Media,Ik wil geen aflevering missen.
ontspannen,relaxed,Topic 20,Watching Media,Tv kijken is ontspannen.
politiek,politics,Topic 20,Watching Media,Ik kijk naar politiek nieuws.
programma,programme,Topic 20,Watching Media,Dit is mijn favoriete programma.
quiz,quiz show,Topic 20,Watching Media,We kijken naar een quiz.
romantisch,romantic,Topic 20,Watching Media,Deze film is romantisch.
rust,rest,Topic 20,Watching Media,Tv kijken geeft me rust.
soapserie,soap series,Topic 20,Watching Media,Mijn moeder kijkt naar soapseries.
talkshow,talk show,Topic 20,Watching Media,De talkshow is interessant.
terugkijken,to watch back,Topic 20,Watching Media,Ik kan de uitzending terugkijken.
thriller,thriller,Topic 20,Watching Media,Deze thriller is spannend.
titel,title,Topic 20,Watching Media,Wat is de titel van deze film?
tof,cool,Topic 20,Watching Media,Deze serie is echt tof.
vegetarisch,vegetarian,Topic 20,Watching Media,Het programma gaat over vegetarisch eten.
verslavend,addictive,Topic 20,Watching Media,Deze serie is verslavend.
waarover,about what,Topic 20,Watching Media,Waarover gaat dit programma?
waarvan,of what,Topic 20,Watching Media,Waarvan is dit een aflevering?
zender,TV station,Topic 20,Watching Media,Op welke zender is dit?
advertentie,advertisement,Topic 20,Social Media,Ik zie veel advertenties online.
bevolking,population,Topic 20,Social Media,De hele bevolking gebruikt sociale media.
bezorgd,worried,Topic 20,Social Media,Ik ben bezorgd over privacy.
communiceren,to communicate,Topic 20,Social Media,We communiceren via sociale media.
constant,constantly,Topic 20,Social Media,Ik check constant mijn telefoon.
dankzij,thanks to,Topic 20,Social Media,Dankzij sociale media blijf ik in contact.
diploma-uitreiking,graduation ceremony,Topic 20,Social Media,Ik deel foto's van mijn diploma-uitreiking.
echter,however,Topic 20,Social Media,Sociale media is leuk echter ook verslavend.
evenement,event,Topic 20,Social Media,Ik deel foto's van het evenement.
feestdag,holiday,Topic 20,Social Media,Op feestdagen post ik veel.
festival,festival,Topic 20,Social Media,Het festival was geweldig op sociale media.
gebeurtenis,event,Topic 20,Social Media,Elke gebeurtenis wordt gedeeld.
gebruiker,user,Topic 20,Social Media,Ik ben een actieve gebruiker.
kennis,acquaintance,Topic 20,Social Media,Ik volg veel kennissen online.
kleinkind,grandchild,Topic 20,Social Media,Oma ziet foto's van haar kleinkind.
koopje,bargain,Topic 20,Social Media,Ik vond een koopje via sociale media.
kwart,quarter,Topic 20,Social Media,Een kwart van de dag ben ik online.
oudere,elderly person,Topic 20,Social Media,Ouderen gebruiken ook sociale media.
privacy,privacy,Topic 20,Social Media,Privacy is belangrijk online.
profiel,profile,Topic 20,Social Media,Mijn profiel is openbaar.
slechts,only,Topic 20,Social Media,Slechts weinig mensen zijn niet online.
sociale medium,social media,Topic 20,Social Media,Sociale media verandert communicatie.
toename,increase,Topic 20,Social Media,Er is een toename van gebruikers.
verslaafd,addicted,Topic 20,Social Media,Ik ben verslaafd aan sociale media.
absoluut,absolutely,Topic 20,Watching Media,Dat is absoluut waar.
aflevering,episode,Topic 20,Watching Media,Ik kijk naar een nieuwe aflevering.
dood,dead,Topic 20,Watching Media,De hoofdpersoon is dood.
drama,drama,Topic 20,Watching Media,Ik hou van drama series.
hangen,to hang,Topic 20,Watching Media,Ik hang voor de tv.
journaal,news,Topic 20,Watching Media,Het journaal begint om acht uur.
misdaad,crime,Topic 20,Watching Media,Deze serie gaat over misdaad.
missen,to miss,Topic 20,Watching Media,Ik wil geen aflevering missen.
ontspannen,relaxed,Topic 20,Watching Media,Tv kijken is ontspannen.
politiek,politics,Topic 20,Watching Media,Ik kijk naar politiek nieuws.
programma,programme,Topic 20,Watching Media,Dit is mijn favoriete programma.
quiz,quiz show,Topic 20,Watching Media,We kijken naar een quiz.
romantisch,romantic,Topic 20,Watching Media,Deze film is romantisch.
rust,rest,Topic 20,Watching Media,Tv kijken geeft me rust.
soapserie,soap series,Topic 20,Watching Media,Mijn moeder kijkt naar soapseries.
talkshow,talk show,Topic 20,Watching Media,De talkshow is interessant.
terugkijken,to watch back,Topic 20,Watching Media,Ik kan de uitzending terugkijken.
thriller,thriller,Topic 20,Watching Media,Deze thriller is spannend.
titel,title,Topic 20,Watching Media,Wat is de titel van deze film?
tof,cool,Topic 20,Watching Media,Deze serie is echt tof.
vegetarisch,vegetarian,Topic 20,Watching Media,Het programma gaat over vegetarisch eten.
verslavend,addictive,Topic 20,Watching Media,Deze serie is verslavend.
waarover,about what,Topic 20,Watching Media,Waarover gaat dit programma?
waarvan,of what,Topic 20,Watching Media,Waarvan is dit een aflevering?
zender,TV station,Topic 20,Watching Media,Op welke zender is dit?
advertentie,advertisement,Topic 20,Social Media,Ik zie veel advertenties online.
bevolking,population,Topic 20,Social Media,De hele bevolking gebruikt sociale media.
bezorgd,worried,Topic 20,Social Media,Ik ben bezorgd over privacy.
communiceren,to communicate,Topic 20,Social Media,We communiceren via sociale media.
constant,constantly,Topic 20,Social Media,Ik check constant mijn telefoon.
dankzij,thanks to,Topic 20,Social Media,Dankzij sociale media blijf ik in contact.
diploma-uitreiking,graduation ceremony,Topic 20,Social Media,Ik deel foto's van mijn diploma-uitreiking.
echter,however,Topic 20,Social Media,Sociale media is leuk echter ook verslavend.
evenement,event,Topic 20,Social Media,Ik deel foto's van het evenement.
feestdag,holiday,Topic 20,Social Media,Op feestdagen post ik veel.
festival,festival,Topic 20,Social Media,Het festival was geweldig op sociale media.
gebeurtenis,event,Topic 20,Social Media,Elke gebeurtenis wordt gedeeld.
gebruiker,user,Topic 20,Social Media,Ik ben een actieve gebruiker.
kennis,acquaintance,Topic 20,Social Media,Ik volg veel kennissen online.
kleinkind,grandchild,Topic 20,Social Media,Oma ziet foto's van haar kleinkind.
koopje,bargain,Topic 20,Social Media,Ik vond een koopje via sociale media.
kwart,quarter,Topic 20,Social Media,Een kwart van de dag ben ik online.
oudere,elderly person,Topic 20,Social Media,Ouderen gebruiken ook sociale media.
privacy,privacy,Topic 20,Social Media,Privacy is belangrijk online.
profiel,profile,Topic 20,Social Media,Mijn profiel is openbaar.
slechts,only,Topic 20,Social Media,Slechts weinig mensen zijn niet online.
sociale medium,social media,Topic 20,Social Media,Sociale media verandert communicatie.
toename,increase,Topic 20,Social Media,Er is een toename van gebruikers.
verslaafd,addicted,Topic 20,Social Media,Ik ben verslaafd aan sociale media.
afstand,distance,Topic 20,In the News,De afstand tussen steden wordt kleiner.
arbeidsmarkt,labour market,Topic 20,In the News,De arbeidsmarkt verandert snel.
Aziatisch,Asian,Topic 20,In the News,Er komen meer Aziatische migranten.
bevallen,to give birth,Topic 20,In the News,Ze is bevallen van een zoon.
brandstof,fuel,Topic 20,In the News,Brandstof wordt duurder.
buitenlands,foreign,Topic 20,In the News,Buitenlands nieuws is belangrijk.
daarvoor,before,Topic 20,In the News,Daarvoor was de situatie anders.
economie,economy,Topic 20,In the News,De economie groeit langzaam.
